Wednesday 24th of March 2021 01:39:51 PM
Compound:CO2; emissions_ds_name:v6.0_GHG_FT2018(edgar_release) ; Year:2018; Global Total:98513052.553513(tons); Source name:40; Process Group:AGS; User_codeset:v4(edgar)
lat;lon;emission 2018 (tons)
-56.0 	 -74.0 	 212.78928227999998 
-56.0 	 -72.0 	 1891.1536363999999 
-56.0 	 -70.0 	 2393.5463602100003 
-56.0 	 -68.0 	 0.295721044 
-56.0 	 -66.0 	 0.018726378000000005 
-54.0 	 -76.0 	 229.82629417 
-54.0 	 -74.0 	 4213.8384334 
-54.0 	 -72.0 	 8516.8363274 
-54.0 	 -70.0 	 4930.456094559 
-54.0 	 -68.0 	 0.000390133 
-52.0 	 -76.0 	 2038.39555726 
-52.0 	 -74.0 	 9023.3292142 
-52.0 	 -72.0 	 14493.5527 
-52.0 	 -70.0 	 7524.269570000001 
-50.0 	 -76.0 	 3033.14633236 
-50.0 	 -74.0 	 4313.7144227 
-50.0 	 -72.0 	 12885.764640000001 
-50.0 	 -70.0 	 13275.575430133002 
-50.0 	 -68.0 	 4571.645190133 
-48.0 	 -76.0 	 724.9814689900002 
-48.0 	 -74.0 	 2186.8690852299997 
-48.0 	 -72.0 	 8641.5159563 
-48.0 	 -70.0 	 11846.17164 
-48.0 	 -68.0 	 7844.312899999999 
-48.0 	 -66.0 	 380.4377 
-48.0 	 166.0 	 7114.341989999999 
-48.0 	 168.0 	 56993.337342000006 
-48.0 	 170.0 	 811.9282 
-46.0 	 -76.0 	 173.49269058000002 
-46.0 	 -74.0 	 980.28531688 
-46.0 	 -72.0 	 12156.234611 
-46.0 	 -70.0 	 12823.600657400002 
-46.0 	 -68.0 	 9607.848420000002 
-46.0 	 -66.0 	 1797.9711000000004 
-46.0 	 166.0 	 16929.920652 
-46.0 	 168.0 	 84386.42498 
-46.0 	 170.0 	 89338.78293 
-44.0 	 -76.0 	 137.25052140000003 
-44.0 	 -74.0 	 3011.8279947599995 
-44.0 	 -72.0 	 11084.693017132999 
-44.0 	 -70.0 	 12994.758800000001 
-44.0 	 -68.0 	 13367.41 
-44.0 	 -66.0 	 7569.765160266 
-44.0 	 -64.0 	 728.0077 
-44.0 	 144.0 	 1672.4456447 
-44.0 	 146.0 	 3695.2425944000006 
-44.0 	 148.0 	 13.400386 
-44.0 	 168.0 	 960.0728059999999 
-44.0 	 170.0 	 64890.43443399999 
-44.0 	 172.0 	 97232.59293000001 
-42.0 	 -76.0 	 10.0729 
-42.0 	 -74.0 	 23826.791187 
-42.0 	 -72.0 	 50762.58219793 
-42.0 	 -70.0 	 12488.538 
-42.0 	 -68.0 	 9238.08066 
-42.0 	 -66.0 	 6791.657420000001 
-42.0 	 -64.0 	 3699.42337 
-42.0 	 142.0 	 0.267615 
-42.0 	 144.0 	 16662.976450399998 
-42.0 	 146.0 	 15989.068511599999 
-42.0 	 148.0 	 7543.607804 
-42.0 	 170.0 	 202.41017000000002 
-42.0 	 172.0 	 20010.323134 
-42.0 	 174.0 	 42622.025372000004 
-42.0 	 176.0 	 16904.00084 
-40.0 	 -74.0 	 23508.748192 
-40.0 	 -72.0 	 63836.310521999985 
-40.0 	 -70.0 	 5090.73094 
-40.0 	 -68.0 	 9100.5669548 
-40.0 	 -66.0 	 9461.520137200001 
-40.0 	 -64.0 	 1158880.6704942002 
-40.0 	 -62.0 	 309312.71696999995 
-40.0 	 -60.0 	 2210.5728 
-40.0 	 -58.0 	 210.46811 
-40.0 	 140.0 	 179.83226729999998 
-40.0 	 142.0 	 15318.640308999999 
-40.0 	 144.0 	 72399.3166033 
-40.0 	 146.0 	 38479.945402800004 
-40.0 	 148.0 	 2519.55411 
-40.0 	 172.0 	 3825.0993000000008 
-40.0 	 174.0 	 109084.75173700001 
-40.0 	 176.0 	 35253.49055 
-40.0 	 178.0 	 4748.5404 
-38.0 	 -74.0 	 9378.1907 
-38.0 	 -72.0 	 151557.88236 
-38.0 	 -70.0 	 2830.8447695 
-38.0 	 -68.0 	 7829.351321390999 
-38.0 	 -66.0 	 78914.45968000003 
-38.0 	 -64.0 	 287161.97569000005 
-38.0 	 -62.0 	 9223.27369 
-38.0 	 -60.0 	 9386.011369999998 
-38.0 	 -58.0 	 391049.16014 
-38.0 	 138.0 	 35297.1202496 
-38.0 	 140.0 	 140334.906296 
-38.0 	 142.0 	 4151.022196 
-38.0 	 144.0 	 5620.9297259 
-38.0 	 146.0 	 15724.1137623 
-38.0 	 148.0 	 42407.583421639996 
-38.0 	 150.0 	 2.62213 
-38.0 	 172.0 	 1256.031 
-38.0 	 174.0 	 51749.194146 
-38.0 	 176.0 	 1738.335876 
-38.0 	 178.0 	 3278.9658719999998 
-36.0 	 -74.0 	 1545.8354599999998 
-36.0 	 -72.0 	 11909.27363298 
-36.0 	 -70.0 	 3337.2968705300004 
-36.0 	 -68.0 	 4826.70236 
-36.0 	 -66.0 	 4881.487859999999 
-36.0 	 -64.0 	 6965.256329999999 
-36.0 	 -62.0 	 9741.72878 
-36.0 	 -60.0 	 7773.267452200001 
-36.0 	 -58.0 	 60695.7155254 
-36.0 	 -56.0 	 6701.436879999999 
-36.0 	 -54.0 	 503.55459599999995 
-36.0 	 18.0 	 533.8094578000001 
-36.0 	 20.0 	 624.0683899999999 
-36.0 	 22.0 	 76.37508 
-36.0 	 24.0 	 122.871082 
-36.0 	 114.0 	 9870.271975200001 
-36.0 	 116.0 	 95309.33203969999 
-36.0 	 118.0 	 10248.42066 
-36.0 	 134.0 	 423.299441 
-36.0 	 136.0 	 1399.6627922999999 
